has_title,has_submit,has_link,has_email_input,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_div,has_footer,number_of_forms,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,number_of_sources,number_of_span,number_of_table,RequestURL,AnchorURL,Favicon,LinksInScriptTags,ServerFormHandler,InfoEmail,has_mouse_tracking,has_keyboard_monitoring,has_popups,number_of_hidden_element,page_redirect,form_redirect_behavior,external_form_action,password_type_count,password_name_id_count,hidden_password_count,form_with_password,clipboard_monitoring,form_data_collection,cookie_manipulation,UsingIp,longUrl,shortUrl,symbol,redirecting,prefixSuffix,SubDomains,Hppts,DomainRegLen,NonStdPort,HTTPSDomainURL,AbnormalURL,WebsiteForwarding,StatusBarCust,DisableRightClick,UsingPopupWindow,IframeRedirection,AgeofDomain,DNSRecording,WebsiteTraffic,PageRank,GoogleIndex,LinksPointingToPage,StatsReport,URL,label
1,0,1,0,0,0,1,0,0,2,3,1,11,0,1,0,70,0,2,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://435dfr34.weebly.com/,1
1,0,1,0,0,1,0,0,0,2,3,3,36,0,1,0,423,1,2,9,0,0,0,0,0,5,0,0,7,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://fomo-tracker.pages.dev,1
1,0,1,0,0,0,1,0,0,3,2,0,2,0,0,0,59,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://docs.google.com/presentation/d/e/2PACX-1vQbdJmqvbQEbxgvYh6sFsdsgvWxYi59WssGlS-1YLv1Iw9asM52WncP39uijgLUusHTrF2O_TiXtDnu/pub?start=true&amp;loop=true&amp;delayms=1000,1
1,0,1,0,0,1,0,0,0,2,3,3,36,0,1,0,423,1,2,9,0,0,0,0,0,5,0,0,7,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://dex-fomo.pages.dev,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://mondialrelay-info-support.com/,1
1,0,1,0,0,1,0,0,0,2,3,3,36,0,1,0,423,1,2,9,0,0,0,0,0,5,0,0,7,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://tracker-fomo.pages.dev,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,http://mondialrelay-info-support.com/main,1
1,0,1,0,0,0,0,0,0,0,0,19,30,0,0,0,380,0,0,161,0,0,0,0,0,13,0,0,42,0,0,0,0,0,1,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://docs.google.com/presentation/d/e/2PACX-1vSjDC4sxmuDt5f1JoL4UD0nDu1QLghw4_XamwUA2p9eArdc7nw6ks8Y2yt0azsLstDNs2U7vS5Zisnu/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,1,0,0,0,1,0,12,1,10,3,50,1,1,0,2798,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,http://teraorhardwarwalet.webflow.io,1
1,0,0,0,0,0,0,0,0,1,0,0,20,1,0,1,65,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://navigate-loginscreen-att-105734-109897.weeblysite.com/,1
1,0,1,0,0,0,2,0,0,1,1,0,49,1,0,1,288,0,1,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://rebrand.ly/a281wps,1
1,0,1,0,0,0,1,0,0,2,3,1,11,0,1,0,70,0,2,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://sbc-very-12.weebly.com/,1
1,0,1,0,0,5,1,0,35,37,29,10,22,1,1,0,789,0,37,49,0,0,0,0,0,3,1,0,56,0,0,0,0,0,1,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://wami73.wixsite.com/wsaq2,1
1,0,1,0,0,5,1,0,35,37,29,10,22,1,1,0,789,0,37,49,0,0,0,0,0,3,1,0,56,0,0,0,0,0,1,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,https://grreierir.wixsite.com/my-site-2,1
1,0,0,0,0,0,0,0,0,1,0,0,20,1,0,1,65,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,https://att-currently-12-9-2024.weeblysite.com/,1
